,id,description,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,interval,host_id_count,properties_owned
36497,29012563,Your Sanctuary in the city,1936796,JenJoy,Brooklyn,Williamsburg,40.71179,-73.9387,Private room,60,1,41,2019-06-28,2,5,186.0,1,single
27173,21481778,Adorable Upper East Side 1br,1607289,Aspen,Manhattan,Upper East Side,40.77196,-73.95454,Entire home/apt,299,2,1,2017-12-31,1,0,730.0,1,single
8674,6661923,"Hell´s Kitchen, cozy functional 2br",15008796,Admir,Manhattan,Hell's Kitchen,40.7611,-73.99316,Entire home/apt,150,4,1,2015-07-05,1,0,1640.0,1,single
8490,6534409,Unbelievable NYC Apt Avail Nov!,34174768,Dana,Manhattan,Midtown,40.75055,-73.98679,Entire home/apt,340,2,19,2015-10-25,1,0,1528.0,1,single
34157,27085643,"Entire apartment in Clinton Hill, minutes from NYC",349596,Marie-Claude,Brooklyn,Clinton Hill,40.68477,-73.96799,Entire home/apt,189,10,3,2019-05-20,1,14,225.0,1,single
20343,16251715,NYC from Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,40.77307,-73.91822,Private room,87,3,3,2019-04-19,2,343,256.0,1,single
16135,13037692,Midtown 2 full bedrooms,66326553,Pierre,Manhattan,Hell's Kitchen,40.76111,-73.99248,Entire home/apt,350,6,97,2019-06-14,2,236,200.0,1,single
19244,15327553,Huge Room in Ideal LES location,97513787,Daniel,Manhattan,Chinatown,40.71592,-73.99332,Private room,65,25,20,2018-12-12,5,365,384.0,1,single
42982,33373525,Amazing Hudson river two bedroom apartment,12220,Corina E.,Manhattan,Upper West Side,40.77757,-73.98579,Entire home/apt,236,1,4,2019-05-26,3,341,219.0,1,single
11690,9096630,Apartment in Lower Manhattan,23948552,Chikezie,Manhattan,Chinatown,40.71544,-73.99106,Private room,90,1,1,2015-10-28,1,0,1525.0,1,single
8603,6619187,Stylish NYC Art Loft,34643568,Dave,Manhattan,East Harlem,40.79229,-73.93954,Private room,95,3,24,2019-07-02,6,334,182.0,1,single
993,401579,"ECO-APT, free YOGA, 2 new bedrooms. Best location!",462379,Loretta,Brooklyn,Carroll Gardens,40.67939,-73.99398,Entire home/apt,298,30,131,2019-06-23,2,296,191.0,1,single
44169,34085654,The Library,7910657,Gretchen,Brooklyn,Park Slope,40.67245,-73.97365,Entire home/apt,250,2,3,2019-06-23,1,175,191.0,1,single
3243,1935302,COZY and WARM Garden Apartment,10008086,Brandon,Brooklyn,Fort Greene,40.69117,-73.97047,Entire home/apt,180,2,72,2019-07-07,1,290,177.0,1,single
11772,9152795,Studio Bedroom Apt in Williamsburg,1443812,Luciana,Brooklyn,Williamsburg,40.71083,-73.96401,Entire home/apt,120,3,184,2019-06-27,2,262,187.0,1,single
3295,1970697,Lovely & Large Private Queen Bedroom,3388950,Amaya,Brooklyn,Bedford-Stuyvesant,40.69484,-73.9342,Private room,72,5,62,2019-07-01,6,140,183.0,4,few
1197,510454,"Gramercy Pk Area, w Rooftop Gdn!",2515124,Jacqueline,Manhattan,Kips Bay,40.73951,-73.98146,Entire home/apt,145,3,2,2016-06-23,1,0,1286.0,1,single
47540,35796952,Ginger Home,2113042,Ly,Brooklyn,Bedford-Stuyvesant,40.69414,-73.94073,Private room,70,3,1,2019-07-01,1,65,183.0,1,single
445,155296,Incredible Prime Williamsburg Loft!,656841,Meredith,Brooklyn,Williamsburg,40.71624,-73.96272,Entire home/apt,255,45,39,2019-05-02,1,89,243.0,1,single
33490,26476238,"Comfort, clean and close to everything.",157506473,Al,Queens,Flushing,40.75819,-73.81977,Private room,60,1,6,2018-08-11,1,0,507.0,1,single
27057,21408195,The Manhattanville,145242566,Corey,Manhattan,Harlem,40.81956,-73.95277,Shared room,25,3,61,2019-06-23,2,7,191.0,1,single
14233,11011759,"Modern, fun and sophisticated 1BR",38968716,Ali,Manhattan,Kips Bay,40.73939,-73.983,Entire home/apt,250,28,5,2017-05-30,1,0,945.0,1,single
12879,9809911,Classic Brooklyn Charm,50537550,Howard,Brooklyn,Bedford-Stuyvesant,40.68441,-73.91625,Entire home/apt,185,2,24,2019-06-24,1,365,190.0,1,single
27353,21586883,Cute Astoria bedroom - close to midtown Manhattan,156994927,Billy,Queens,Astoria,40.76219,-73.9237,Private room,60,1,2,2018-04-06,1,0,634.0,1,single
18898,15008979,Cozy Room near Casino and Metro,94707512,Elvin,Queens,Ozone Park,40.67238,-73.83909,Private room,75,1,212,2019-06-30,1,164,184.0,1,single
18835,14945219,"Sunny Art Loft in Bushwick, Brooklyn + 1 Cute Cat",5792120,Julia,Brooklyn,Bushwick,40.70708,-73.92343,Entire home/apt,102,1,44,2019-06-26,1,38,188.0,1,single
4523,3131982,"Spacious, Sunny Apartment in BK!",15904341,Monica,Brooklyn,Crown Heights,40.67231,-73.94426,Entire home/apt,65,5,6,2018-06-21,1,0,558.0,1,single
21587,17298590,Your Home Away from Home,2168789,Kimberly,Brooklyn,Greenpoint,40.72938,-73.95675,Entire home/apt,175,2,15,2019-06-21,1,4,193.0,1,single
37469,29734635,Cozy 1BR near Brooklyn Waterfront by NÔM Stays,732460,Nôm,Brooklyn,Williamsburg,40.71067,-73.96629,Entire home/apt,120,29,1,2018-12-10,7,0,386.0,2,few
28217,21972697,Newly private room in best Co-Living,159811367,Sergii,Brooklyn,Bedford-Stuyvesant,40.6926,-73.94076,Private room,50,30,4,2018-03-08,10,364,663.0,1,single
39197,30565284,Great for family/friends! 2 bdrm duplex sleeps 6!,181651082,Fran,Queens,Rosedale,40.65861,-73.73672,Entire home/apt,135,1,5,2019-06-09,3,36,205.0,1,single
9162,7019122,Giant Sunny East Williamsburg LOFT!,1733462,Kim,Brooklyn,Williamsburg,40.71351,-73.92999,Entire home/apt,160,4,40,2019-06-20,1,138,194.0,1,single
31490,24520702,One Bedroom Apartment in Greenpoint,9010955,Lindsey,Brooklyn,Greenpoint,40.73556,-73.95726,Entire home/apt,200,2,5,2019-05-12,2,7,233.0,1,single
42442,32938196,COZY BEAUTIFUL HOUSE ! 2 min from the train,166673485,Daniela,Brooklyn,Bushwick,40.68227,-73.90703,Entire home/apt,150,2,7,2019-06-23,1,342,191.0,1,single
2849,1609672,CENTRAL PARK/ TIMES SQUARE,5533135,Rodrigo,Manhattan,Hell's Kitchen,40.76476,-73.99011,Entire home/apt,99,2,55,2019-06-30,1,182,184.0,1,single
1528,690960,Guestroom w/ 2 beds 20 mins to NYC ,3531317,Ingrid,Brooklyn,Bushwick,40.68161,-73.90796,Private room,60,2,295,2019-06-16,2,210,198.0,1,single
48122,36100457,Trendy King Bedroom w/private Bath in Bushwick,268135013,Noel,Brooklyn,Bushwick,40.69485,-73.92759,Private room,69,1,1,2019-06-30,6,103,184.0,2,few
34402,27282364,Charming Private Room Friends/Couples/Solo “M”,52140932,Diana And Peter,Brooklyn,Bedford-Stuyvesant,40.68511,-73.94948,Private room,65,2,21,2019-06-13,7,362,201.0,2,few
40687,31565105,Massive Room in Bed-Stuy Clinton Hills,236596347,John,Brooklyn,Bedford-Stuyvesant,40.68226,-73.94493,Private room,69,2,1,2019-03-30,1,95,276.0,1,single
17749,13926664,Interfaith Retreat Guest Rooms (Seva),16677326,Alex And Zeena,Manhattan,Chelsea,40.74798,-73.99532,Private room,85,1,78,2019-05-27,12,360,218.0,2,few
