,reviews_per_month
36497,4.42
27173,0.05
8674,0.02
8490,0.38
34157,0.32
20343,0.1
16135,2.55
19244,0.9
42982,1.46
11690,0.02
8603,0.49
993,1.84
44169,1.34
3243,3.12
11772,4.1
3295,1.05
1197,0.02
47540,1.0
445,0.5
33490,0.5
27057,2.99
14233,0.13
12879,0.56
27353,0.12
18898,6.19
18835,1.3
4523,0.14
21587,0.54
37469,0.14
28217,0.21
39197,0.76
9162,0.83
31490,0.37
42442,3.62
2849,0.78
1528,3.56
48122,1.0
34402,1.95
40687,0.29
17749,2.26
41206,3.33
46288,4.0
34141,0.09
9936,0.99
10303,2.13
21411,2.32
2136,0.04
7280,0.03
40333,0.17
41306,0.9
7040,3.39
30019,0.61
26912,1.04
28127,0.22
46914,1.0
44242,3.86
35281,0.56
34654,4.5
43133,3.0
20381,4.36
8067,0.44
28663,7.19
18379,0.43
36481,4.21
10789,1.85
35414,1.67
37829,0.16
37603,2.64
39519,0.25
4294,1.65
5175,0.12
47143,3.0
10105,0.32
37652,10.29
43597,3.79
43534,3.57
13078,0.68
42247,2.02
34916,0.28
4220,0.04
4660,1.08
30683,4.63
7825,0.42
20881,1.18
5389,0.11
12917,0.03
37577,0.64
31205,0.07
22649,3.15
19300,3.38
21478,0.05
9865,0.38
11685,0.02
47125,3.0
322,0.36
28333,0.22
21750,1.39
25542,0.09
11385,0.72
22838,0.34
30289,0.09
34644,0.29
16539,1.39
40085,3.21
4228,0.21
27399,0.79
18349,4.09
21081,3.88
29648,0.27
37111,0.66
46919,1.0
22307,2.83
7199,1.0
35143,0.87
11336,0.15
9463,1.91
23369,0.21
16253,0.03
29520,0.94
2346,0.18
2753,0.28
8692,0.19
8708,0.02
20418,1.53
28227,0.16
24964,0.78
22305,3.78
11103,3.55
13532,0.13
12280,0.05
38987,1.34
8839,0.13
31920,0.66
25044,2.89
22425,2.22
18679,2.23
407,0.38
24372,1.91
2414,0.63
7023,0.02
32256,0.08
23214,1.21
36548,4.93
46283,6.0
40069,0.7
30999,1.47
42326,0.89
9190,0.1
37618,1.78
1521,0.97
17728,3.18
6709,0.13
10668,0.21
16668,0.03
18635,0.1
970,0.17
24936,0.17
30157,1.69
9601,0.02
11099,2.3
18716,1.79
25880,0.06
32979,0.12
12645,2.06
32277,0.29
18079,0.03
27488,0.05
38151,3.05
13415,4.1
39006,1.83
5538,2.26
33558,0.54
32066,3.02
20027,0.88
43874,4.58
46635,1.0
37720,1.06
33290,0.94
12225,0.02
15028,2.52
23275,0.24
24406,1.71
18054,0.45
32111,0.83
27761,0.5
24151,0.21
1336,0.08
36531,0.76
5877,0.16
7817,0.13
34946,0.92
30751,0.19
6944,0.02
1462,0.14
34451,7.18
41554,0.61
44007,3.0
31171,1.25
35954,0.93
22908,2.6
3334,0.97
12646,0.05
2127,0.46
8642,0.05
47910,1.0
2109,0.13
46200,4.17
32013,4.28
41425,2.31
38210,2.49
26916,1.9
43817,1.76
30758,1.56
1767,0.05
9442,1.01
32473,2.74
16516,2.5
32638,0.64
16000,0.17
39321,2.84
23756,0.46
22247,5.35
43967,3.42
6416,0.16
24884,0.09
31609,0.6
39764,0.15
23338,0.2
14538,0.1
10579,0.04
3041,0.03
2834,0.27
23845,3.26
6937,0.87
33709,4.98
33747,0.19
34477,5.2
36641,4.91
15193,1.96
40921,0.55
17630,0.16
1057,0.11
19077,0.15
46523,2.0
3139,0.28
11345,1.11
17655,5.79
6617,0.48
9529,0.13
26774,0.05
12474,0.4
15113,2.23
8719,0.53
34272,2.06
11529,0.15
5490,0.12
45416,1.0
13492,0.2
36757,0.35
4386,5.81
28959,0.11
34703,1.74
22732,0.16
44734,2.45
6278,3.21
7234,0.04
38602,0.78
20065,0.03
48107,1.0
13522,1.06
2098,0.66
11737,0.23
21321,1.39
18652,0.89
44048,0.83
27886,0.05
11598,1.53
31320,0.14
45753,5.38
28262,0.06
1393,0.06
22698,2.11
25298,3.06
32175,0.15
23001,5.84
33383,0.29
14300,0.59
1652,0.05
24258,4.29
19344,0.03
39499,2.47
31635,0.21
4084,1.57
38415,2.57
44484,4.66
695,2.65
40532,0.35
42068,9.85
46620,3.0
30899,3.42
1387,1.05
24533,1.22
2155,1.52
5803,1.27
21988,1.55
14000,0.02
14465,0.15
18374,0.06
24595,0.64
13299,0.16
40092,3.21
41733,7.38
3632,0.4
35433,3.07
1870,0.59
37573,1.65
32863,2.49
35786,0.83
33796,0.82
11498,0.41
16369,1.53
20102,1.2
34917,2.0
15697,1.37
12218,0.27
34151,2.26
47189,1.0
26848,3.44
17733,0.03
583,0.62
40765,0.21
46384,1.0
27412,0.4
25099,0.17
4221,0.74
30500,0.52
9167,0.08
34774,0.11
7544,1.2
26142,1.08
40617,6.65
15421,0.05
35603,3.94
18921,0.38
5535,2.32
32866,0.21
34172,0.46
15313,0.03
25190,2.42
1915,0.18
28591,0.65
861,2.74
1876,0.29
329,0.51
43353,8.94
16723,0.08
25216,0.09
18768,0.09
29668,3.47
9990,0.29
26402,0.14
39104,0.16
42515,0.99
11873,2.81
33497,2.28
12025,0.14
4707,2.34
3906,0.21
34246,0.91
44081,4.34
44332,6.25
24637,1.17
42230,0.51
29174,0.11
17185,0.34
21731,0.11
2299,0.3
38421,1.86
19607,0.06
44237,3.46
37059,1.76
7618,0.06
39782,0.34
36121,0.48
32909,0.31
45887,2.55
8556,0.1
15342,0.47
21459,0.66
42611,0.51
39596,0.48
8457,3.75
1848,3.15
19725,3.51
46558,3.0
9739,0.03
43760,1.32
16052,1.19
14201,0.02
45421,3.0
43762,3.38
19338,0.56
17153,0.59
18,4.44
24636,4.38
39671,0.48
21985,0.43
19208,0.15
4311,0.33
10182,0.13
34252,2.39
7097,0.37
3068,1.2
15577,0.13
11688,1.65
16827,3.19
23722,0.32
26560,0.79
44130,1.64
6251,0.67
28508,1.4
33268,0.18
23047,0.17
36070,0.3
34999,1.06
47690,1.0
46752,1.0
24172,1.91
34016,1.22
38079,4.04
19812,0.97
36633,2.55
5914,0.75
35620,1.53
16727,0.08
2164,0.03
26249,1.25
1858,0.26
169,1.66
39257,2.82
21583,0.04
22069,0.69
4096,0.97
9521,0.15
20880,0.16
10881,0.02
25197,0.22
47348,1.0
37440,1.45
12736,3.38
14525,1.04
